Area,Bauteiltyp,Betongüte,Breite/Höhe,Depth,Einheit,Expositionsklasse,Fenster/Türnummer,Flügelanzahl,GUID,Geschoss,GrossArea,GrossFootprintArea,GrossSideArea,GrossVolume,Height,IfcType,IsExternal,Length,LoadBearing,Material,Name,NetArea,NetFootprintArea,NetSideArea,NetVolume,NumberOfRiser,NumberOfTreads,Perimeter,Raumnummer,RequiredHeadroom,RiserHeight,Rohbaubreite,Rohbauhöhe,Sichtbetonklasse,Stahlbeton,Status,SurfaceSpreadOfFlame,Volume,WU,WalkingLineOffset,Width,Zugehörigkeit,id,Öffnungsbreite,Öffnungshöhe,Öffnungsrichtung,Überwachungsklasse
,Decke,,,,,,,,2cY6SUNC51oxID$5PCCksJ,EG,161.1038,,,16.11038,,IfcSlab,False,,True,,RD-002,155.834,,,15.5834,,,51.18,,,,,,,,['EXISTING'],,,,,0.1,,16650,,,,
,Möbel,,,,,,,,3Y3H7Pp0j4rO2fUMQII1vt,R-020,,,,,,IfcFurniture,,,,,Vitrinenschrank,,,,,,,,,,,,,,,,,,,,,EG--,18435,,,,
,Möbel,,,,,,,,02tvuGWff87vsIvufrUtoh,R-020,,,,,,IfcFurniture,,,,,Sideboard,,,,,,,,,,,,,,,,,,,,,EG--,19998,,,,
,Möbel,,,,,,,,0W_nzFoZfAMBTycavlLXoQ,R-020,,,,,,IfcFurniture,,,,,Sideboard,,,,,,,,,,,,,,,,,,,,,EG--,20040,,,,
,Möbel,,,,,,,,2kthAdCO152vl8zDdQtdjM,R-020,,,,,,IfcFurniture,,,,,Sideboard,,,,,,,,,,,,,,,,,,,,,EG--,21595,,,,
,Möbel,,,,,,,,2uIYuch_v6tOBkmslWMGj7,R-020,,,,,,IfcFurniture,,,,,Sideboard,,,,,,,,,,,,,,,,,,,,,EG--,21633,,,,
,Möbel,,,,,,,,2g3qPlshbAbwOTO_FZCGWB,R-020,,,,,,IfcFurniture,,,,,Büroarbeitsplatz,,,,,,,,,,,,,,,,,,,,,EG--,32460,,,,
,Möbel,,,,,,,,2Jklv73LT2EuV_LvjbndSX,R-020,,,,,,IfcFurniture,,,,,Büroarbeitsplatz,,,,,,,,,,,,,,,,,,,,,EG--,43267,,,,
,Möbel,,,,,,,,0COD_HCmDAXwOvFYEeG17$,R-020,,,,,,IfcFurniture,,,,,Büroarbeitsplatz,,,,,,,,,,,,,,,,,,,,,EG--,54070,,,,
,Möbel,,,,,,,,2CaDbB1CnF7fdXNtMM18yE,R-020,,,,,,IfcFurniture,,,,,Büroarbeitsplatz,,,,,,,,,,,,,,,,,,,,,EG--,64873,,,,
,Möbel,,,,,,,,26u$Zj4vPC0gA_mSoxhg9g,R-020,,,,,,IfcFurniture,,,,,Flipchart,,,,,,,,,,,,,,,,,,,,,EG--,65882,,,,
,Decke,,,,,,,,0I8q7Ti5X4dAsqAJxp8OLF,EG,120.0,,,12.0,,IfcSlab,False,,True,,RD-003,113.8634,,,11.38634,,,44.0,,,,,,,,['EXISTING'],,,,,0.1,,66510,,,,
,Vorhangfassade,,,,,,,,2auBupRvLEVe6igA$LKgM3,EG,,,20.0000000894,,2.00000000447,IfcCurtainWall,True,10.0000000224,,,Fassade-001,,,20.0000000894,,,,,,,,,,,,['EXISTING'],,,,,0.133,,70550,,,,
,Vorhangfassade,,,,,,,,3nvHeFUQX2LgDeatepYBrZ,EG,,,20.000000082,,2.0000000041,IfcCurtainWall,True,10.0000000205,,,Fassade-001,,,20.000000082,,,,,,,,,,,,['EXISTING'],,,,,0.133,,73778,,,,
,Wand,,,,,,,,2z81$Kh_z1jxAw83_QSL3O,EG,,0.391000092056,15.249,1.5249,3.9,IfcWall,True,3.91,True,,Wand-016,,0.391000092056,15.249,1.5249,,,,,,,,,,,['EXISTING'],,,,,0.1,,74114,,,,
,Wand,,,,,,,,2v8LgX2SLEuQvEa0E3R3Dd,EG,,2.05160001849,56.199,10.12862,4.0,IfcWall,True,14.41,True,,Wand-013,,2.05160001849,44.5557,8.032826,,,,,,,,,,,['EXISTING'],,,,,0.18,,75257,,,,
1.75,Öffnung,,,0.18,,,,,2bMnSb$nprPXLtBfGmJnqk,,,,,,0.5,IfcOpeningElement,,,,,Fenster-001,,,,,,,,,,,,,,,,,0.0955205,,,3.5,,74927,,,,
1.75,Öffnung,,,0.18,,,,,2l5iRKomANfDz04Bl2w1yy,,,,,,0.5,IfcOpeningElement,,,,,Fenster-001,,,,,,,,,,,,,,,,,0.0955205,,,3.5,,74986,,,,
1.75,Öffnung,,,0.18,,,,,0ABelkqdV$aIr6G_ZKNJ$Q,,,,,,0.5,IfcOpeningElement,,,,,Fenster-001,,,,,,,,,,,,,,,,,0.0955205,,,3.5,,75045,,,,
2.1311,Öffnung,,,0.18,,,,,2GGnDTT1mld_nlaQgbdK88,,,,,,2.11,IfcOpeningElement,,,,,Tür-004,,,,,,,,,,,,,,,,,0.111556828,,,1.01,,75104,,,,
2.1311,Öffnung,,,0.18,,,,,2iazpxs_n2J3h4QXgVZ95G,,,,,,2.11,IfcOpeningElement,,,,,Tür-004,,,,,,,,,,,,,,,,,0.111556828,,,1.01,,75163,,,,
2.1311,Öffnung,,,0.18,,,,,3JSGwsW9pBuk2X$9MCbroS,,,,,,2.11,IfcOpeningElement,,,,,Tür-004,,,,,,,,,,,,,,,,,0.111556828,,,1.01,,75222,,,,
