Area,Barrierefrei,Bauteiltyp,Betongüte,Brandwand,Depth,Expositionsklasse,Feuerwiderstandsklasse 4102-2,FinishCeilingHeight,FinishFloorHeight,FireRating,FloorCoveringThickness,GUID,Geschoss,GrossArea,GrossCeilingArea,GrossFloorArea,GrossFootprintArea,GrossHeight,GrossPerimeter,GrossSideArea,GrossVolume,GrossWallArea,HandicapAccessible,Height,IfcType,IsExternal,Length,LoadBearing,Material,Name,NetArea,NetCeilingArea,NetFloorArea,NetFootprintArea,NetHeight,NetPerimeter,NetSideArea,NetVolume,NetWallArea,Perimeter,Status,Volume,Width,id
,,Decke,,,,,,,,,,3Q8w$yfF14jvxnTtNwkzPk,EG,38.81355,,,,,,,3.881355,,,,IfcSlab,False,,False,Holz,RD-009,36.89,,,,,,,3.689,,25.27,['EXISTING'],,0.1,9598
,,Raum,,,,,,2.7,0.1,,0.1,0ZleqqBVrDdvYIJOBS0bkV,,,27.3919008825,27.3919008825,,,29.9927470589,,73.9581323827,62.4854170591,,2.7,IfcSpace,,,,,R-006,,27.3919008825,27.3919008825,,,29.9927470589,,73.9581323827,45.6854170591,,,,,9721
1.77885,False,Tür,,,,,T 60,,,T 60,,3vW7cFsWPEseg8XZ8Mcayw,EG,,,,,,,,,,False,2.01,IfcDoor,True,,,Holz,Tür-005,,,,,,,,,,5.79,['EXISTING'],,0.885,9956
,,Wand,C30/37,True,,XC3,F 60,,,F 60,,2FzJg8DtD3fPpQ587BBmwe,R-006,,,,2.8,,,21.0,8.4,,,3.0,IfcWall,True,7.0,True,Stahlbeton,Wand-009,,,,2.8,,,17.4423,6.97692,,,['EXISTING'],,0.4,10289
1.77885,,Öffnung,,,0.4,,,,,,,2KT32$3bSSnJmYkGUNnHIN,,,,,,,,,,,,2.01,IfcOpeningElement,,,,,Tür-004,,,,,,,,,,,,0.0781365,0.885,10181
1.77885,,Öffnung,,,0.4,,,,,,,0CghoVT0kT6v3c6B_Ibslg,,,,,,,,,,,,2.01,IfcOpeningElement,,,,,Tür-005,,,,,,,,,,,,0.0781365,0.885,10240
1.77885,False,Tür,,,,,T 60,,,T 60,,3EYeZ6Ocv63ukAmcVDxPKO,R-006,,,,,,,,,,False,2.01,IfcDoor,True,,,Holz,Tür-004,,,,,,,,,,5.79,['EXISTING'],,0.885,10351
,,Decke,,,,,,,,,,0rbQ6x8rL7lBTYWA7MKjFr,EG,11.8052942869,,,,,,,1.18052942869,,,,IfcSlab,False,,False,Holz,RD-008,11.6984303326,,,,,,,1.16984303326,,13.9026471434,['EXISTING'],,0.1,10445
,,Geschoss,,,,,,,,,,2u8QLkhhx4HBrLqA_wnknJ,,,,0.0,,3.0,,,,,,,IfcBuildingStorey,,,,,OG,,,,,3.0,,,,,,,,,10465
,,Decke,C30/37,,,XC4,F 90,,,F 90,,1EVOiwKer1jhMrlc2YflYP,OG,113.853555794,,,,,,,22.7707111589,,,,IfcSlab,True,,True,Stahlbeton,RD-003,113.853555794,,,,,,,22.7707111589,,44.917582353,['EXISTING'],,0.2,10585
,,Wand,C16/20,False,,XC2,,,,,,0iTz22FMT2nhXHpfJAnlMw,OG,,,,2.20931867647,,,8.83727470589,1.32559120588,,,0.6,IfcWall,True,14.5787911765,,Stahlbeton,Wand-017,,,,2.20931867647,,,8.83727470589,1.32559120588,,,['EXISTING'],,0.15,10709
,,Wand,C16/20,False,,XC2,,,,,,3BNKro2wD9Z9tqKw2kZzes,OG,,,,1.137,,,4.548,0.6822,,,0.6,IfcWall,True,7.58,,Stahlbeton,Wand-017,,,,1.137,,,4.548,0.6822,,,['EXISTING'],,0.15,10825
,,Wand,C16/20,False,,XC2,,,,,,2DBjazrmDD28QxSj4931op,OG,,,,2.18681867647,,,8.74727470589,1.31209120588,,,0.6,IfcWall,True,14.5787911765,,Stahlbeton,Wand-017,,,,2.18681867647,,,8.74727470589,1.31209120588,,,['EXISTING'],,0.15,10937
,,Wand,C16/20,False,,XC2,,,,,,1cjH1K_Zj2fvtStTJDgY1s,OG,,,,1.1145,,,4.458,0.6687,,,0.6,IfcWall,True,7.58,,Stahlbeton,Wand-017,,,,1.1145,,,4.458,0.6687,,,['EXISTING'],,0.15,11049
